NOMBRE DEL INDICADOR,Banks,Valor Indicador
PROVISIÓN CARTERA REFINANCIADA EDUCATIVO,BANCOS PRIVADOS GRANDES,3.1619
PROVISIÓN CARTERA REESTRUCTURADA EDUCATIVO,BANCOS PRIVADOS GRANDES,454.9672
PROVISIÓN GENÉRICA VOLUNTARIA CARTERA DE CRÉDITO EDUCATIVO,BANCOS PRIVADOS GRANDES,1559.2
PROVISIONES CARTERA EDUCATIVO,BANCOS PRIVADOS GRANDES,6606.45019
(CARTERA DE CRÉDITO DE INVERSIÓN PÚBLICA),BANCOS PRIVADOS GRANDES,0.0
PROVISIÓN CARTERA REFINANCIADA DE INVERSIÓN PÚBLICA,BANCOS PRIVADOS GRANDES,0.0
PROVISIÓN CARTERA REESTRUCTURADA DE INVERSIÓN PÚBLICA,BANCOS PRIVADOS GRANDES,0.0
PROVISIÓN GENÉRICA VOLUNTARIA CARTERA DE INVERSIÓN PÚBLICA,BANCOS PRIVADOS GRANDES,0.0
PROVISIONES CARTERA INVERSIÓN PÚBLICA,BANCOS PRIVADOS GRANDES,0.0
PROVISIONES CARTERA REFINANCIADA,BANCOS PRIVADOS GRANDES,56470.76199
 CARTERA REFINANCIADA IMPRODUCTIVA,BANCOS PRIVADOS GRANDES,69403.0716
PROVISIONES CARTERA REESTRUCTURADA,BANCOS PRIVADOS GRANDES,384935.63137
CARTERA REESTRUCTURADA IMPRODUCTIVA,BANCOS PRIVADOS GRANDES,326070.35237
 CARTERA ORIGINAL,BANCOS PRIVADOS GRANDES,30575609.13122
COMERCIAL AGREGADA,BANCOS PRIVADOS GRANDES,13600585.97565
CONSUMO AGREGADA,BANCOS PRIVADOS GRANDES,12473845.84775
INMOBILIARIA Y VIVIENDA DE INTERÉS PÚBLICO,BANCOS PRIVADOS GRANDES,1934331.56434
MICROCRÉDITO,BANCOS PRIVADOS GRANDES,2399800.57729
EDUCATIVO,BANCOS PRIVADOS GRANDES,167045.16619
CARTERA REFINANCIADA,BANCOS PRIVADOS GRANDES,504524.91376
COMERCIAL AGREGADA,BANCOS PRIVADOS GRANDES,211750.12601
CONSUMO AGREGADA,BANCOS PRIVADOS GRANDES,233489.17369
INMOBILIARIA Y VIVIENDA DE INTERES PÚBLICO,BANCOS PRIVADOS GRANDES,44977.40676
MICROCRÉDITO,BANCOS PRIVADOS GRANDES,13932.66614
EDUCATIVO,BANCOS PRIVADOS GRANDES,375.54116
CARTERA REESTRUCTURADA,BANCOS PRIVADOS GRANDES,1043911.23265
COMERCIAL AGREGADA,BANCOS PRIVADOS GRANDES,274546.16456
CONSUMO AGREGADA,BANCOS PRIVADOS GRANDES,483754.50957
INMOBILIARIA Y VIVIENDA DE INTERES PÚBLICO,BANCOS PRIVADOS GRANDES,95412.80081
MICROCRÉDITO,BANCOS PRIVADOS GRANDES,187884.42301
EDUCATIVO,BANCOS PRIVADOS GRANDES,2313.3347
CARTERA BRUTA,BP AUSTRO,1818575.3738
CARTERA DE CRÉDITOS PRODUCTIVO POR VENCER,BP AUSTRO,518614.98988
CARTERA DE CRÉDITOS DE CONSUMO POR VENCER,BP AUSTRO,1081965.27834
CARTERA DE CRÉDITOS INMOBILIARIO POR VENCER,BP AUSTRO,53628.17517
CARTERA DE CRÉDITOS PARA MICROCRÉDITO POR VENCER,BP AUSTRO,11723.84572
CARTERA DE CRÉDITO DE VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO POR VENCER,BP AUSTRO,0.0
CARTERA DE CRÉDITOS PRODUCTIVO REFINANCIADA POR VENCER,BP AUSTRO,75727.27832
CARTERA DE CRÉDITOS CONSUMO REFINANCIADA POR VENCER,BP AUSTRO,9785.27043
CARTERA DE CRÉDITOS INMOBILIARIO REFINANCIADA POR VENCER,BP AUSTRO,2512.6106
CARTERA DE CRÉDITOS PARA MICROCRÉDITO REFINANCIADA POR VENCER,BP AUSTRO,216.91224
CARTERA DE CRÉDITOS DE VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO REFINANCIADA POR VENCER,BP AUSTRO,0.0
CARTERA DE CRÉDITOS PRODUCTIVO REESTRUCTURADA POR VENCER,BP AUSTRO,829.52487
CARTERA DE CRÉDITOS DE CONSUMO  REESTRUCTURADA POR VENCER,BP AUSTRO,5416.37554
CARTERA DE CRÉDITOS INMOBILIARIO REESTRUCTURADA POR VENCER,BP AUSTRO,182.93735
CARTERA DE CRÉDITOS PARA MICROCRÉDITO REESTRUCTURADA POR VENCER,BP AUSTRO,12.81983
CARTERA DE CRÉDITOS DE VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO REESTRUCTURADA POR VENCER,BP AUSTRO,0.0
CARTERA DE CRÉDITO EDUCATIVO POR VENCER,BP AUSTRO,0.0
CARTERA DE CRÉDITO DE INVERSIÓN PÚBLICA POR VENCER,BP AUSTRO,0.0
CARTERA DE CRÉDITO EDUCATIVO REFINANCIADA POR VENCER,BP AUSTRO,0.0
CARTERA DE CRÉDITO DE INVERSIÓN PÚBLICA REFINANCIADA POR VENCER,BP AUSTRO,0.0
CARTERA DE CRÉDITO EDUCATIVO REESTRUCTURADA POR VENCER,BP AUSTRO,0.0
CARTERA DE CRÉDITO DE INVERSIÓN PÚBLICA REESTRUCTURADA POR VENCER,BP AUSTRO,0.0
PRODUCTIVO POR VENCER,BP AUSTRO,0.0
CONSUMO POR VENCER,BP AUSTRO,390.94348
INMOBILIARIO POR VENCER,BP AUSTRO,0.0
VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO POR VENCER,BP AUSTRO,0.0
MICROCRÉDITO POR VENCER,BP AUSTRO,0.0
DE INVERSIÓN PÚBLICA POR VENCER,BP AUSTRO,0.0
EDUCATIVO POR VENCER,BP AUSTRO,0.0
PRODUCTIVO POR VENCER,BP AUSTRO,1019.47503
CONSUMO POR VENCER,BP AUSTRO,933.57336
INMOBILIARIO POR VENCER,BP AUSTRO,0.0
VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO POR VENCER,BP AUSTRO,0.0
MICROCRÉDITO POR VENCER,BP AUSTRO,5.29364
DE INVERSIÓN PÚBLICA POR VENCER,BP AUSTRO,0.0
EDUCATIVO POR VENCER,BP AUSTRO,0.0
TOTAL CARTERA POR VENCER,BP AUSTRO,1762965.3038
CARTERA DE CRÉDITOS PRODUCTIVO QUE NO DEVENGA INTERESES,BP AUSTRO,1373.35198
CARTERA DE CRÉDITOS DE CONSUMO QUE NO DEVENGA INTERESES,BP AUSTRO,25380.00825
CARTERA DE CRÉDITOS INMOBILIARIO QUE NO DEVENGA INTERESES,BP AUSTRO,1838.26086
CARTERA DE CRÉDITOS PARA MICROCRÉDITO QUE NO DEVENGA INTERESES,BP AUSTRO,686.21241
CARTERA DE CRÉDITO DE VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO QUE NO DEVENGA INTERESES,BP AUSTRO,0.0
CARTERA DE CRÉDITOS PRODUCTIVO REFINANCIADA QUE NO DEVENGA INTERESES,BP AUSTRO,504.10704
CARTERA DE CRÉDITOS DE CONSUMO REFINANCIADA QUE NO DEVENGA INTERESES,BP AUSTRO,3011.67265
CARTERA DE CRÉDITOS INMOBILIARIO REFINANCIADA QUE NO DEVENGA INTERESES,BP AUSTRO,449.48868
CARTERA DE CRÉDITOS PARA MICROCRÉDITO REFINANCIADA QUE NO DEVENGA INTERESES,BP AUSTRO,30.74695
CARTERA DE CRÉDITOS DE VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO REFINANCIADA QUE NO DEVENGA INTERESES,BP AUSTRO,0.0
CARTERA DE CRÉDITOS PRODUCTIVO REESTRUCTURADA QUE NO DEVENGA INTERESES,BP AUSTRO,688.79131
CARTERA DE CRÉDITOS DE CONSUMO REESTRUCTURADA QUE NO DEVENGA INTERESES,BP AUSTRO,4520.10961
CARTERA DE CRÉDITOS INMOBILIARIO REESTRUCTURADA QUE NO DEVENGA INTERESES,BP AUSTRO,0.0
CARTERA DE CRÉDITOS PARA MICROCRÉDITO REESTRUCTURADA QUE NO DEVENGA INTERESES,BP AUSTRO,102.47499
CARTERA DE CRÉDITOS DE VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO REESTRUCTURADA QUE NO DEVENGA INTERESES,BP AUSTRO,0.0
CARTERA DE CRÉDITO EDUCATIVO QUE NO DEVENGA INTERESES,BP AUSTRO,0.0
CARTERA DE CRÉDITO DE INVERSIÓN PÚBLICA QUE NO DEVENGA INTERESES,BP AUSTRO,0.0
CARTERA DE CRÉDITO EDUCATIVO REFINANCIADA QUE NO DEVENGA INTERESES,BP AUSTRO,0.0
CARTERA DE CRÉDITO DE INVERSIÓN PÚBLICA REFINANCIADA QUE NO DEVENGA INTERESES,BP AUSTRO,0.0
CARTERA DE CRÉDITO EDUCATIVO REESTRUCURADA QUE NO DEVENGA INTERESES,BP AUSTRO,0.0
CARTERA DE CRÉDITO DE INVERSIÓN PÚBLICA REESTRUCURADA QUE NO DEVENGA INTERESES,BP AUSTRO,0.0
PRODUCTIVO QUE NO DEVENGA INTERESES,BP AUSTRO,0.0
CONSUMO QUE NO DEVENGA INTERESES,BP AUSTRO,114.85264
INMOBILIARIO QUE NO DEVENGA INTERESES,BP AUSTRO,0.0
VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO QUE NO DEVENGA INTERESES,BP AUSTRO,0.0
MICROCRÉDITO QUE NO DEVENGA INTERESES,BP AUSTRO,0.0
DE INVERSIÓN PÚBLICA QUE NO DEVENGA INTERESES,BP AUSTRO,0.0
EDUCATIVO QUE NO DEVENGA INTERESES,BP AUSTRO,0.0
PRODUCTIVO QUE NO DEVENGA INTERESES,BP AUSTRO,9.48256
CONSUMO QUE NO DEVENGA INTERESES,BP AUSTRO,572.8734
INMOBILIARIO QUE NO DEVENGA INTERESES,BP AUSTRO,0.0
VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO QUE NO DEVENGA INTERESES,BP AUSTRO,0.0
MICROCRÉDITO QUE NO DEVENGA INTERESES,BP AUSTRO,0.0
DE INVERSIÓN PÚBLICA QUE NO DEVENGA INTERESES,BP AUSTRO,0.0
EDUCATIVO QUE NO DEVENGA INTERESES,BP AUSTRO,0.0
TOTAL CARTERA QUE NO DEVENGA INTERES,BP AUSTRO,39282.43333
CARTERA DE CRÉDITOS PRODUCTIVO VENCIDA,BP AUSTRO,2364.7309
CARTERA DE CRÉDITOS DE CONSUMO VENCIDA,BP AUSTRO,8767.97962
CARTERA DE CRÉDITOS INMOBILIARIO VENCIDA,BP AUSTRO,243.97765
CARTERA DE CRÉDITOS PARA MICROCRÉDITO VENCIDA,BP AUSTRO,595.19146
CARTERA DE CRÉDITOS DE VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO VENCIDA,BP AUSTRO,0.0
CARTERA DE CRÉDITOS PRODUCTIVO REFINANCIADA VENCIDA,BP AUSTRO,72.17839
CARTERA DE CRÉDITOS DE CONSUMO REFINANCIADA VENCIDA,BP AUSTRO,1310.36097
CARTERA DE CRÉDITOS INMOBILIARIO REFINANCIADA VENCIDA,BP AUSTRO,25.76384
CARTERA DE CRÉDITOS PARA MICROCRÉDITO REFINANCIADA VENCIDA,BP AUSTRO,18.37169
CARTERA DE CRÉDITO DE VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO REFINANCIADA VENCIDA,BP AUSTRO,0.0
CARTERA DE CRÉDITOS PRODUCTIVO REESTRUCTURADA VENCIDA,BP AUSTRO,87.98237
CARTERA DE CRÉDITOS DE CONSUMO REESTRUCTURADA VENCIDA,BP AUSTRO,2729.79838
CARTERA DE CRÉDITOS INMOBILIARIO REESTRUCTURADA VENCIDA,BP AUSTRO,0.001
CARTERA DE CRÉDITOS PARA MICROCRÉDITO REESTRUCTURADA VENCIDA,BP AUSTRO,44.72125
CARTERA DE CRÉDITO DE VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO REESTRUCTURADA VENCIDA,BP AUSTRO,0.0
CARTERA DE CRÉDITO EDUCATIVO VENCIDA,BP AUSTRO,0.0
CARTERA DE CRÉDITO DE INVERSIÓN PÚBLICA VENCIDA,BP AUSTRO,0.0
CARTERA DE CRÉDITO EDUCATIVO REFINANCIADA VENCIDA,BP AUSTRO,0.0
CARTERA DE CRÉDITO DE INVERSIÓN PÚBLICA REFINANCIADA VENCIDA,BP AUSTRO,0.0
CARTERA DE CRÉDITO EDUCATIVO REESTRUCTURADA VENCIDA,BP AUSTRO,0.0
CARTERA DE CRÉDITO DE INVERSIÓN PÚBLICA REESTRUCTURADA VENCIDA,BP AUSTRO,0.0
PRODUCTIVO VENCIDA,BP AUSTRO,0.0
CONSUMO VENCIDA,BP AUSTRO,12.31603
INMOBILIARIO VENCIDA,BP AUSTRO,0.0
VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO VENCIDA,BP AUSTRO,0.0
MICROCRÉDITO VENCIDA,BP AUSTRO,0.0
DE INVERSIÓN PÚBLICA VENCIDA,BP AUSTRO,0.0
EDUCATIVO VENCIDA,BP AUSTRO,0.0
PRODUCTIVO VENCIDA,BP AUSTRO,3.8337
CONSUMO VENCIDA,BP AUSTRO,50.42942
INMOBILIARIO VENCIDA,BP AUSTRO,0.0
VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO VENCIDA,BP AUSTRO,0.0
MICROCRÉDITO VENCIDA,BP AUSTRO,0.0
DE INVERSIÓN PÚBLICA VENCIDA,BP AUSTRO,0.0
EDUCATIVO VENCIDA,BP AUSTRO,0.0
TOTAL CARTERA VENCIDA,BP AUSTRO,16327.63667
(PROVISIONES PARA CRÉDITOS INCOBRABLES),BP AUSTRO,-65380.92005
CARTERA POR VENCER INMOBILIARIA Y DE VIVIENDA DE INTERES PÚBLICO,BP AUSTRO,56323.72312
CARTERA POR VENCER PRODUCTIVO NUEVO,BP AUSTRO,596191.2681
CARTERA POR VENCER CONSUMO,BP AUSTRO,1098491.44115
CARTERA POR VENCER INMOBILIARIO,BP AUSTRO,56323.72312
CARTERA POR VENCER MICROCRÉDITO,BP AUSTRO,11958.87143
CARTERA POR VENCER VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO,BP AUSTRO,0.0
CARTERA POR VENCER EDUCATIVO,BP AUSTRO,0.0
CARTERA POR VENCER INVERSIÓN PÚBLICA,BP AUSTRO,0.0
TOTAL CARTERA DE CRÉDITO POR VENCER,BP AUSTRO,1762965.3038
CARTERA IMPRODUCTIVA INMOBILIARIA Y DE VIVIENDA DE INTERES PÚBLICO,BP AUSTRO,2557.49203
CARTERA IMPRODUCTIVA PRODUCTIVO NUEVO,BP AUSTRO,5104.45825
CARTERA IMPRODUCTIVA CONSUMO,BP AUSTRO,46470.40097
CARTERA IMPRODUCTIVA INMOBILIARIO,BP AUSTRO,2557.49203
CARTERA IMPRODUCTIVA MICROCRÉDITO,BP AUSTRO,1477.71875
CARTERA IMPRODUCTIVA VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO,BP AUSTRO,0.0
CARTERA IMPRODUCTIVA EDUCATIVO,BP AUSTRO,0.0
CARTERA IMPRODUCTIVA INVERSIÓN PÚBLICA,BP AUSTRO,0.0
TOTAL CARTERA IMPRODUCTIVA  (NO DEVENGA INTERESES + VENCIDA),BP AUSTRO,55610.07
CARTERA BRUTA INMOBILIARIA Y DE VIVIENDA DE INTERES PÚBLICO,BP AUSTRO,58881.21515
CARTERA BRUTA PRODUCTIVO NUEVO,BP AUSTRO,601295.72635
CARTERA BRUTA CONSUMO,BP AUSTRO,1144961.84212
CARTERA BRUTA INMOBILIARIO,BP AUSTRO,58881.21515
CARTERA BRUTA MICROCRÉDITO,BP AUSTRO,13436.59018
CARTERA BRUTA VIVIENDA DE INTERÉS SOCIAL Y  PÚBLICO,BP AUSTRO,0.0
CARTERA BRUTA EDUCATIVO,BP AUSTRO,0.0
CARTERA BRUTA INVERSIÓN PÚBLICA,BP AUSTRO,0.0
TOTAL DE CRÉDITO CARTERA BRUTA,BP AUSTRO,1818575.3738
PROVISIONES CARTERA INMOBILIARIA Y DE VIVIENDA DE INTERES PÚBLICO,BP AUSTRO,2629.8916
PROVISIONES CARTERA PRODUCTIVO NUEVO,BP AUSTRO,11268.29991
PROVISIONES CARTERA CONSUMO,BP AUSTRO,49662.48929
PROVISIONES CARTERA INMOBILIARIO,BP AUSTRO,2629.8916
PROVISIONES CARTERA MICROCRÉDITO,BP AUSTRO,1447.36686
PROVISIONES CARTERA VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO,BP AUSTRO,0.0
PROVISIONES CARTERA EDUCATIVO,BP AUSTRO,0.0
PROVISIONES CARTERA INVERSIÓN PÚBLICA,BP AUSTRO,0.0
PROV TOT CARTERA REFINANCIADA,BP AUSTRO,5614.62411
PROV TOT CARTERA REESTRUCTURADA,BP AUSTRO,9217.30089
(Provisiones para créditos incobrables),BP AUSTRO,-65380.92005
(CARTERA DE CRÉDITOS PRODUCTIVO),BP AUSTRO,9299.4538
PROVISIÓN CARTERA REFINANCIADA PRODUCTIVO,BP AUSTRO,1588.57143
PROVISIÓN CARTERA REESTRUCTURADA PRODUCTIVO,BP AUSTRO,380.27468
PROVISIÓN GENÉRICA VOLUNTARIA CARTERA PRODUCTIVO,BP AUSTRO,0.0
PROVISIONES CARTERA PRODUCTIVO NUEVO,BP AUSTRO,11268.29991
(CARTERA DE CRÉDITOS DE CONSUMO),BP AUSTRO,37374.16986
PROVISIÓN CARTERA REFINANCIADA DE CONSUMO,BP AUSTRO,3512.62555
PROVISIÓN CARTERA REESTRUCTURADA DE CONSUMO,BP AUSTRO,8731.97006
PROVISIÓN GENÉRICA POR TECNOLOGÍA CREDITICIA CARTERA DE CONSUMO,BP AUSTRO,0.0
PROVISIÓN GENÉRICA VOLUNTARIA CARTERA CONSUMO,BP AUSTRO,43.72382
PROVISIONES CARTERA CONSUMO,BP AUSTRO,49662.48929
(CARTERA DE CRÉDITOS INMOBILIARIO),BP AUSTRO,2011.70501
PROVISIÓN CARTERA REFINANCIADA INMOBILIARIO,BP AUSTRO,460.47107
PROVISIÓN CARTERA REESTRUCTURADA INMOBILIARIO,BP AUSTRO,2.3132
PROVISIÓN GENÉRICA VOLUNTARIA CARTERA INMOBILIARIO,BP AUSTRO,155.40232
PROVISIONES CARTERA INMOBILIARIO,BP AUSTRO,2629.8916
(CARTERA DE CRÉDITOS PARA MICROCRÉDITO),BP AUSTRO,1266.84233
PROVISIÓN CARTERA REFINANCIADA MICROCRÉDITO,BP AUSTRO,52.95606
PROVISIÓN CARTERA REESTRUCTURADA MICROCRÉDITO,BP AUSTRO,102.74295
PROVISIÓN GENÉRICA POR TECNOLOGÍA CREDITICIA CARTERA DE MICROCRÉDITO,BP AUSTRO,0.0
PROVISIÓN GENÉRICA VOLUNTARIA CARTERA DE MICROCRÉDITO,BP AUSTRO,24.82552
PROVISIONES CARTERA MICROCRÉDITO,BP AUSTRO,1447.36686
(CARTERA DE CRÉDITOS DE VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO),BP AUSTRO,0.0
PROVISIÓN CARTERA REFINANCIADA DE VIVIENDA DE INTERÉS PÚBLICO,BP AUSTRO,0.0
PROVISIÓN CARTERA REESTRUCTURADA DE VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO,BP AUSTRO,0.0
PROVISIÓN GENÉRICA VOLUNTARIA CARTERA DE VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO,BP AUSTRO,0.0
PROVISIONES CARTERA VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO,BP AUSTRO,0.0
(CARTERA DE CRÉDITO EDUCATIVO),BP AUSTRO,0.0
PROVISIÓN GENÉRICA POR TECNOLOGÍA CREDITICIA CARTERA DE CRÉDITO EDUCATIVO,BP AUSTRO,0.0
PROVISIÓN CARTERA REFINANCIADA EDUCATIVO,BP AUSTRO,0.0
PROVISIÓN CARTERA REESTRUCTURADA EDUCATIVO,BP AUSTRO,0.0
PROVISIÓN GENÉRICA VOLUNTARIA CARTERA DE CRÉDITO EDUCATIVO,BP AUSTRO,0.0
PROVISIONES CARTERA EDUCATIVO,BP AUSTRO,0.0
(CARTERA DE CRÉDITO DE INVERSIÓN PÚBLICA),BP AUSTRO,0.0
PROVISIÓN CARTERA REFINANCIADA DE INVERSIÓN PÚBLICA,BP AUSTRO,0.0
PROVISIÓN CARTERA REESTRUCTURADA DE INVERSIÓN PÚBLICA,BP AUSTRO,0.0
PROVISIÓN GENÉRICA VOLUNTARIA CARTERA DE INVERSIÓN PÚBLICA,BP AUSTRO,0.0
PROVISIONES CARTERA INVERSIÓN PÚBLICA,BP AUSTRO,0.0
PROVISIONES CARTERA REFINANCIADA,BP AUSTRO,5614.62411
 CARTERA REFINANCIADA IMPRODUCTIVA,BP AUSTRO,5549.85888
PROVISIONES CARTERA REESTRUCTURADA,BP AUSTRO,9217.30089
CARTERA REESTRUCTURADA IMPRODUCTIVA,BP AUSTRO,8810.49799
 CARTERA ORIGINAL,BP AUSTRO,1707182.00224
COMERCIAL AGREGADA,BP AUSTRO,522353.07276
CONSUMO AGREGADA,BP AUSTRO,1116113.26621
INMOBILIARIA Y VIVIENDA DE INTERÉS PÚBLICO,BP AUSTRO,55710.41368
MICROCRÉDITO,BP AUSTRO,13005.24959
EDUCATIVO,BP AUSTRO,0.0
CARTERA REFINANCIADA,BP AUSTRO,94182.87395
COMERCIAL AGREGADA,BP AUSTRO,76303.56375
CONSUMO AGREGADA,BP AUSTRO,14625.4162
INMOBILIARIA Y VIVIENDA DE INTERES PÚBLICO,BP AUSTRO,2987.86312
MICROCRÉDITO,BP AUSTRO,266.03088
EDUCATIVO,BP AUSTRO,0.0
CARTERA REESTRUCTURADA,BP AUSTRO,17210.49761
COMERCIAL AGREGADA,BP AUSTRO,2639.08984
CONSUMO AGREGADA,BP AUSTRO,14223.15971
INMOBILIARIA Y VIVIENDA DE INTERES PÚBLICO,BP AUSTRO,182.93835
MICROCRÉDITO,BP AUSTRO,165.30971
EDUCATIVO,BP AUSTRO,0.0
CARTERA BRUTA,BP BOLIVARIANO,3959286.52407
CARTERA DE CRÉDITOS PRODUCTIVO POR VENCER,BP BOLIVARIANO,2745796.99887
CARTERA DE CRÉDITOS DE CONSUMO POR VENCER,BP BOLIVARIANO,984867.45867
CARTERA DE CRÉDITOS INMOBILIARIO POR VENCER,BP BOLIVARIANO,148524.58279
CARTERA DE CRÉDITOS PARA MICROCRÉDITO POR VENCER,BP BOLIVARIANO,585.89012
CARTERA DE CRÉDITO DE VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO POR VENCER,BP BOLIVARIANO,0.0
CARTERA DE CRÉDITOS PRODUCTIVO REFINANCIADA POR VENCER,BP BOLIVARIANO,0.0
CARTERA DE CRÉDITOS CONSUMO REFINANCIADA POR VENCER,BP BOLIVARIANO,868.79929
CARTERA DE CRÉDITOS INMOBILIARIO REFINANCIADA POR VENCER,BP BOLIVARIANO,1300.96146
CARTERA DE CRÉDITOS PARA MICROCRÉDITO REFINANCIADA POR VENCER,BP BOLIVARIANO,0.0
CARTERA DE CRÉDITOS DE VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO REFINANCIADA POR VENCER,BP BOLIVARIANO,0.0
CARTERA DE CRÉDITOS PRODUCTIVO REESTRUCTURADA POR VENCER,BP BOLIVARIANO,11.7754
CARTERA DE CRÉDITOS DE CONSUMO  REESTRUCTURADA POR VENCER,BP BOLIVARIANO,7690.96666
CARTERA DE CRÉDITOS INMOBILIARIO REESTRUCTURADA POR VENCER,BP BOLIVARIANO,235.73449
CARTERA DE CRÉDITOS PARA MICROCRÉDITO REESTRUCTURADA POR VENCER,BP BOLIVARIANO,0.0
CARTERA DE CRÉDITOS DE VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO REESTRUCTURADA POR VENCER,BP BOLIVARIANO,0.0
CARTERA DE CRÉDITO EDUCATIVO POR VENCER,BP BOLIVARIANO,2238.65318
CARTERA DE CRÉDITO DE INVERSIÓN PÚBLICA POR VENCER,BP BOLIVARIANO,0.0
CARTERA DE CRÉDITO EDUCATIVO REFINANCIADA POR VENCER,BP BOLIVARIANO,38.38844
CARTERA DE CRÉDITO DE INVERSIÓN PÚBLICA REFINANCIADA POR VENCER,BP BOLIVARIANO,0.0
CARTERA DE CRÉDITO EDUCATIVO REESTRUCTURADA POR VENCER,BP BOLIVARIANO,2.28528
CARTERA DE CRÉDITO DE INVERSIÓN PÚBLICA REESTRUCTURADA POR VENCER,BP BOLIVARIANO,0.0
PRODUCTIVO POR VENCER,BP BOLIVARIANO,0.0
CONSUMO POR VENCER,BP BOLIVARIANO,3.86932
INMOBILIARIO POR VENCER,BP BOLIVARIANO,638.03756
VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO POR VENCER,BP BOLIVARIANO,0.0
MICROCRÉDITO POR VENCER,BP BOLIVARIANO,0.0
DE INVERSIÓN PÚBLICA POR VENCER,BP BOLIVARIANO,0.0
EDUCATIVO POR VENCER,BP BOLIVARIANO,0.0
PRODUCTIVO POR VENCER,BP BOLIVARIANO,0.0
CONSUMO POR VENCER,BP BOLIVARIANO,0.0
INMOBILIARIO POR VENCER,BP BOLIVARIANO,0.0
VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO POR VENCER,BP BOLIVARIANO,0.0
MICROCRÉDITO POR VENCER,BP BOLIVARIANO,0.0
DE INVERSIÓN PÚBLICA POR VENCER,BP BOLIVARIANO,0.0
EDUCATIVO POR VENCER,BP BOLIVARIANO,0.0
TOTAL CARTERA POR VENCER,BP BOLIVARIANO,3892804.40153
CARTERA DE CRÉDITOS PRODUCTIVO QUE NO DEVENGA INTERESES,BP BOLIVARIANO,900.86783
CARTERA DE CRÉDITOS DE CONSUMO QUE NO DEVENGA INTERESES,BP BOLIVARIANO,36945.05791
CARTERA DE CRÉDITOS INMOBILIARIO QUE NO DEVENGA INTERESES,BP BOLIVARIANO,976.64628
CARTERA DE CRÉDITOS PARA MICROCRÉDITO QUE NO DEVENGA INTERESES,BP BOLIVARIANO,12.73195
CARTERA DE CRÉDITO DE VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO QUE NO DEVENGA INTERESES,BP BOLIVARIANO,0.0
CARTERA DE CRÉDITOS PRODUCTIVO REFINANCIADA QUE NO DEVENGA INTERESES,BP BOLIVARIANO,0.0
CARTERA DE CRÉDITOS DE CONSUMO REFINANCIADA QUE NO DEVENGA INTERESES,BP BOLIVARIANO,209.29543
CARTERA DE CRÉDITOS INMOBILIARIO REFINANCIADA QUE NO DEVENGA INTERESES,BP BOLIVARIANO,639.74266
CARTERA DE CRÉDITOS PARA MICROCRÉDITO REFINANCIADA QUE NO DEVENGA INTERESES,BP BOLIVARIANO,0.0
CARTERA DE CRÉDITOS DE VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO REFINANCIADA QUE NO DEVENGA INTERESES,BP BOLIVARIANO,0.0
CARTERA DE CRÉDITOS PRODUCTIVO REESTRUCTURADA QUE NO DEVENGA INTERESES,BP BOLIVARIANO,11.84231
CARTERA DE CRÉDITOS DE CONSUMO REESTRUCTURADA QUE NO DEVENGA INTERESES,BP BOLIVARIANO,4221.34715
CARTERA DE CRÉDITOS INMOBILIARIO REESTRUCTURADA QUE NO DEVENGA INTERESES,BP BOLIVARIANO,0.0
CARTERA DE CRÉDITOS PARA MICROCRÉDITO REESTRUCTURADA QUE NO DEVENGA INTERESES,BP BOLIVARIANO,0.0
CARTERA DE CRÉDITOS DE VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO REESTRUCTURADA QUE NO DEVENGA INTERESES,BP BOLIVARIANO,0.0
CARTERA DE CRÉDITO EDUCATIVO QUE NO DEVENGA INTERESES,BP BOLIVARIANO,68.55014
